ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:12,,,36100,ValidSlopeSaturation,6196405
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:13,,,32660,ValidSlopeSaturation,6196889
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:14,,,34540,ValidSlopeSaturation,6197372
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:15,,,30850,ValidSlopeSaturation,6197854
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:16,,,27650,ValidSlopeSaturation,6198330
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:17,,,41380,ValidSlopeSaturation,6198823
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:18,,,30440,ValidSlopeSaturation,6199315
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:19,,,32140,ValidSlopeSaturation,6199810
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:20,,,31440,ValidSlopeSaturation,6200299
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:21,,,31870,ValidSlopeSaturation,6200782
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:22,,,29050,ValidSlopeSaturation,6201268
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:23,,,31250,ValidSlopeSaturation,6201757
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:24,,,35290,ValidSlopeSaturation,6202251
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:1,,,36830,ValidSlopeSaturation,6204085
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:2,,,42340,ValidSlopeSaturation,6204570
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:3,,,8584,ValidSlopeSaturation,6205064
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:4,,,10330,ValidSlopeSaturation,6205548
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:5,,,17250,ValidSlopeSaturation,6206029
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:6,,,18710,ValidSlopeSaturation,6206522
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:7,,,23260,ValidSlopeSaturation,6207016
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:8,,,22310,ValidSlopeSaturation,6207504
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:9,,,29200,ValidSlopeSaturation,6207982
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:10,,,31290,ValidSlopeSaturation,6208469
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:11,,,27250,ValidSlopeSaturation,6208950
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:12,,,34490,ValidSlopeSaturation,6209444
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:13,,,30520,ValidSlopeSaturation,6209938
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:14,,,30870,ValidSlopeSaturation,6210427
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:15,,,32610,ValidSlopeSaturation,6210919
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:16,,,31810,ValidSlopeSaturation,6211408
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:17,,,34050,ValidSlopeSaturation,6211895
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:18,,,33940,ValidSlopeSaturation,6212385
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:19,,,35990,ValidSlopeSaturation,6212870
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:20,,,34640,ValidSlopeSaturation,6213358
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:21,,,39380,ValidSlopeSaturation,6213850
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:22,,,37310,ValidSlopeSaturation,6214341
