ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:12,,,1540,ValidSlopeSaturation,4070268
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:13,,,1570,ValidSlopeSaturation,4070744
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:14,,,1500,ValidSlopeSaturation,4071241
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:15,,,1330,ValidSlopeSaturation,4071733
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:16,,,1360,ValidSlopeSaturation,4072225
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:17,,,1440,ValidSlopeSaturation,4072708
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:18,,,1650,ValidSlopeSaturation,4073195
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:19,,,1540,ValidSlopeSaturation,4073683
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:20,,,1220,ValidSlopeSaturation,4074172
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:21,,,1330,ValidSlopeSaturation,4074654
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:22,,,1480,ValidSlopeSaturation,4075133
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:23,,,1590,ValidSlopeSaturation,4075616
26e58645-ceeb-4412-a02e-407ca82df1b3,0,C:24,,,1540,ValidSlopeSaturation,4076111
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:1,,,1570,ValidSlopeSaturation,4077948
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:2,,,1800,ValidSlopeSaturation,4078438
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:3,,,1720,ValidSlopeSaturation,4078919
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:4,,,1630,ValidSlopeSaturation,4079405
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:5,,,1470,ValidSlopeSaturation,4079897
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:6,,,1710,ValidSlopeSaturation,4080390
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:7,,,1600,ValidSlopeSaturation,4080867
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:8,,,1390,ValidSlopeSaturation,4081360
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:9,,,1240,ValidSlopeSaturation,4081848
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:10,,,1490,ValidSlopeSaturation,4082341
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:11,,,1350,ValidSlopeSaturation,4082831
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:12,,,1400,ValidSlopeSaturation,4083320
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:13,,,1300,ValidSlopeSaturation,4083811
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:14,,,1430,ValidSlopeSaturation,4084299
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:15,,,1400,ValidSlopeSaturation,4084789
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:16,,,1320,ValidSlopeSaturation,4085271
26e58645-ceeb-4412-a02e-407ca82df1b3,0,D:17,,,1380,ValidSlopeSaturation,4085760
