row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1.3066230580539657,1.0568274734260017,1.35145816298719,1.2553829381302808,1.0440174434450804,1.0952575633687653,1.152902698282911,1.0568274734260017,1.2489779231398201,1.0248023984736985,1.050422458435541,1.0952575633687653,1.050422458435541,1.0312074134641591,1.1721177432542926,1.1080675933496866,1.0055873535023168,0.9735622785500136,1.0248023984736985,1.0696375034069228,0.851866993731262,0.9607522485690924,1.0312074134641591,1.0376124284546198
B,1.0248023984736985,1.0248023984736985,1.050422458435541,1.1721177432542926,1.0632324884164621,1.0055873535023168,0.9415372035977105,0.9415372035977105,0.9735622785500136,1.0632324884164621,0.9351321886072499,0.9095121286454074,0.9287271736167892,0.9543472335786317,0.967157263559553,0.967157263559553,1.0119923684927774,0.851866993731262,0.9031071136549468,0.8902970836740256,0.9159171436358681,0.9223221586263287,0.9223221586263287,1.050422458435541
C,1.0248023984736985,1.1593077132733716,1.2938130280730444,1.1977378032161352,1.152902698282911,0.9735622785500136,1.0440174434450804,1.0440174434450804,0.9159171436358681,1.1593077132733716,1.0055873535023168,0.9863723085309348,1.0055873535023168,0.9607522485690924,0.851866993731262,0.8710820387026438,0.9223221586263287,1.0568274734260017,0.9863723085309348,0.7814118288361951,0.851866993731262,0.9479422185881712,1.0183973834832378,0.9863723085309348
D,1.0055873535023168,1.152902698282911,1.101662578359226,1.0440174434450804,0.9415372035977105,1.0952575633687653,1.0248023984736985,0.8902970836740256,0.7942218588171164,0.9543472335786317,0.8646770237121831,0.8967020986644862,0.83265194875988,0.9159171436358681,0.8967020986644862,0.8454619787408013,0.883892068683565,0.83265194875988,0.9991823385118561,0.8134369037884982,1.0952575633687653,0.8774870536931043,0.9223221586263287,1.0568274734260017
E,1.1080675933496866,0.9991823385118561,1.3130280730444261,1.0119923684927774,1.1208776233306077,1.0568274734260017,0.9799672935404742,1.0760425183973834,0.8967020986644862,0.8646770237121831,0.9799672935404742,0.9223221586263287,0.9287271736167892,0.9031071136549468,0.8774870536931043,0.8646770237121831,0.7942218588171164,1.0183973834832378,0.9543472335786317,1.0055873535023168,0.9799672935404742,0.851866993731262,0.883892068683565,0.967157263559553
F,1.0376124284546198,0.9415372035977105,0.9927773235213955,0.9735622785500136,0.967157263559553,0.9735622785500136,0.9735622785500136,1.1272826383210683,0.8390569637503407,0.8646770237121831,0.9415372035977105,0.9095121286454074,0.8582720087217225,0.8967020986644862,0.8774870536931043,0.883892068683565,0.800626873807577,0.8710820387026438,0.7942218588171164,0.9223221586263287,0.9543472335786317,0.8198419187789588,0.8902970836740256,1.0888525483783047
G,1.0760425183973834,1.1913327882256746,1.082447533387844,1.0952575633687653,0.9863723085309348,1.0055873535023168,0.9863723085309348,1.0055873535023168,0.9607522485690924,0.9223221586263287,0.8774870536931043,0.9287271736167892,0.7814118288361951,0.9287271736167892,0.8902970836740256,0.8967020986644862,0.9415372035977105,0.967157263559553,0.9479422185881712,0.8774870536931043,0.8902970836740256,0.8070318887980376,0.83265194875988,0.9735622785500136
H,1.1208776233306077,0.967157263559553,1.0632324884164621,1.0055873535023168,0.9863723085309348,1.114472608340147,0.8710820387026438,0.9351321886072499,0.9607522485690924,0.9351321886072499,0.8710820387026438,0.851866993731262,0.8646770237121831,0.8582720087217225,1.0568274734260017,0.83265194875988,0.8774870536931043,0.7750068138457346,0.7942218588171164,0.9415372035977105,0.7557917688743526,0.9799672935404742,0.9095121286454074,0.967157263559553
I,1.0119923684927774,1.0632324884164621,1.050422458435541,1.1913327882256746,1.0568274734260017,0.9543472335786317,0.9223221586263287,0.9287271736167892,0.7237666939220496,0.7429817388934314,0.7942218588171164,0.7109566639411283,1.0183973834832378,0.9863723085309348,0.8070318887980376,0.883892068683565,0.9095121286454074,0.851866993731262,0.9287271736167892,0.7878168438266557,0.9479422185881712,0.8262469337694195,0.9095121286454074,1.0696375034069228
J,0.9735622785500136,0.9543472335786317,1.0952575633687653,1.0632324884164621,1.0760425183973834,0.967157263559553,0.8967020986644862,0.851866993731262,0.8262469337694195,0.8454619787408013,0.8582720087217225,0.7750068138457346,0.8390569637503407,0.8710820387026438,0.8262469337694195,0.7686017988552739,0.7814118288361951,0.967157263559553,0.8902970836740256,0.883892068683565,0.9159171436358681,0.8390569637503407,0.9415372035977105,0.9095121286454074
